,Unnamed: 0,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
3740,3740,627368,Cu2Fe1Se4Si1_627368.json,"['Zn', 'Hg', 'P', 'W', 'Sn']","['Cu', 'Cu', 'Si', 'Fe', 'Fe']","['Na', 'Li', 'N', 'Zn', 'Li']","['Fe', 'Si', 'Se', 'Si', 'Fe']"
3742,3742,39415,Cd1Cr2S4_39415.json,"['Ge', 'Cl', 'Sn', 'Cr', 'Sb']","['Cd', 'S', 'Cd', 'Cd', 'Cr']","['Na', 'Na', 'K', 'Mg', 'N']","['Cr', 'Cd', 'Cr', 'Cr', 'S']"
3746,3746,103214,Ca2Co1O7Si2_103214.json,"['F', 'La', 'P', 'V', 'Cl']","['O', 'Ca', 'Si', 'Si', 'O']","['Na', 'K', 'Li', 'Na', 'Cs']","['Ca', 'Ca', 'Si', 'Co', 'Ca']"
3748,3748,154356,C4O4Rb2_154356.json,"['K', 'F', 'Ba', 'Pb', 'Sr']","['O', 'O', 'Rb', 'Rb', 'Rb']","['N', 'O', 'F', 'Cl', 'S']","['O', 'Rb', 'Rb', 'Rb', 'Rb']"
3758,3758,27392,I1N1Zr1_27392.json,"['O', 'S', 'Se', 'F', 'Li']","['N', 'N', 'N', 'N', 'N']","['O', 'S', 'Fe', 'Mn', 'Mn']","['I', 'I', 'Zr', 'Zr', 'Zr']"
3763,3763,33261,B1K1Na2O3_33261.json,"['F', 'Ba', 'C', 'Sr', 'Ca']","['O', 'K', 'B', 'K', 'Na']","['O', 'Cl', 'Ag', 'F', 'O']","['K', 'K', 'B', 'Na', 'Na']"
3768,3768,38105,Cs2I6Te1_38105.json,"['Ba', 'Sr', 'K', 'Cs', 'Rb']","['Cs', 'Cs', 'I', 'I', 'I']","['O', 'S', 'La', 'Sr', 'Nd']","['I', 'I', 'Te', 'Te', 'Te']"
3771,3771,82856,K1Na1O6V2_82856.json,"['F', 'Ba', 'Cr', 'Sr', 'Ca']","['O', 'K', 'V', 'K', 'Na']","['Si', 'Y', 'Tb', 'Ge', 'Lu']","['V', 'V', 'V', 'V', 'V']"
3772,3772,50788,Cd1Cl1O3V1_50788.json,"['F', 'Cr', 'Cl', 'Ge', 'Sn']","['O', 'V', 'O', 'Cd', 'Cd']","['O', 'Si', 'Y', 'S', 'Na']","['Cl', 'V', 'V', 'Cl', 'Cd']"
3773,3773,419683,Al1C1O1Sc1_419683.json,"['Np', 'K', 'U', 'Zr', 'Pb']","['Sc', 'O', 'Sc', 'Sc', 'Sc']","['O', 'Zn', 'K', 'Li', 'Cu']","['Al', 'Sc', 'Al', 'Sc', 'Sc']"
3774,3774,200377,Ag1N2Na1O4_200377.json,"['F', 'Ca', 'Sb', 'Cl', 'Er']","['O', 'Na', 'Na', 'O', 'Na']","['O', 'F', 'O', 'N', 'Cl']","['Ag', 'Na', 'Na', 'Ag', 'Na']"
3777,3777,642305,Li1S2Sc1_642305.json,"['Si', 'Er', 'Ho', 'Cl', 'Re']","['Li', 'Li', 'Li', 'S', 'Sc']","['Na', 'O', 'Rb', 'K', 'N']","['Sc', 'Li', 'Sc', 'Sc', 'S']"
3780,3780,26676,Cr1Cu1O2_26676.json,"['F', 'Zn', 'Hg', 'Cl', 'Cu']","['O', 'Cu', 'Cu', 'O', 'Cu']","['Na', 'K', 'Mg', 'O', 'Li']","['Cr', 'Cr', 'Cr', 'Cu', 'Cr']"
